station_id,stationname,date,daytype,rides
40890,O'Hare Airport,07/04/2023,U,7464
41660,Lake/State,07/04/2023,U,5669
40330,Grand/State,07/04/2023,U,5441
41400,Roosevelt,07/04/2023,U,5099
40260,State/Lake,07/04/2023,U,4772
41450,Chicago/State,07/04/2023,U,4635
40190,Sox-35th-Dan Ryan,07/04/2023,U,4606
41320,Belmont-North Main,07/04/2023,U,3679
41700,Washington/Wabash,07/04/2023,U,3515
40380,Clark/Lake,07/04/2023,U,3288
40370,Washington/Dearborn,07/04/2023,U,3081
40630,Clark/Division,07/04/2023,U,3050
40540,Wilson,07/04/2023,U,3011
41000,Cermak-Chinatown,07/04/2023,U,2981
41220,Fullerton,07/04/2023,U,2758
40450,95th/Dan Ryan,07/04/2023,U,2542
41420,Addison-North Main,07/04/2023,U,2520
40930,Midway Airport,07/04/2023,U,2384
40820,Rosemont,07/04/2023,U,2083
40240,79th,07/04/2023,U,2058
41280,Jefferson Park,07/04/2023,U,1931
40900,Howard,07/04/2023,U,1871
41490,Harrison,07/04/2023,U,1786
41380,Bryn Mawr,07/04/2023,U,1734
40560,Jackson/State,07/04/2023,U,1734
40650,North/Clybourn,07/04/2023,U,1720
40680,Adams/Wabash,07/04/2023,U,1698
41090,Monroe/State,07/04/2023,U,1640
41020,Logan Square,07/04/2023,U,1605
40590,Damen/Milwaukee,07/04/2023,U,1582
41300,Loyola,07/04/2023,U,1567
41510,Morgan-Lake,07/04/2023,U,1553
41690,Cermak-McCormick Place,07/04/2023,U,1533
41200,Argyle,07/04/2023,U,1521
40320,Division/Milwaukee,07/04/2023,U,1469
40060,Belmont-O'Hare,07/04/2023,U,1465
40100,Morse,07/04/2023,U,1457
40990,69th,07/04/2023,U,1387
40080,Sheridan,07/04/2023,U,1386
40570,California/Milwaukee,07/04/2023,U,1361
40710,Chicago/Franklin,07/04/2023,U,1325
41290,Kimball,07/04/2023,U,1314
40670,Western/Milwaukee,07/04/2023,U,1225
40040,Quincy/Wells,07/04/2023,U,1222
40960,Pulaski-Orange,07/04/2023,U,1189
41430,87th,07/04/2023,U,1128
40800,Sedgwick,07/04/2023,U,1118
40070,Jackson/Dearborn,07/04/2023,U,1109
40310,Western-Orange,07/04/2023,U,1100
40550,Irving Park-O'Hare,07/04/2023,U,1086
40050,Davis,07/04/2023,U,1052
40760,Granville,07/04/2023,U,1039
40530,Diversey,07/04/2023,U,1022
41120,35-Bronzeville-IIT,07/04/2023,U,1018
41410,Chicago/Milwaukee,07/04/2023,U,1006
41150,Kedzie-Midway,07/04/2023,U,1000
40850,Library,07/04/2023,U,988
40880,Thorndale,07/04/2023,U,976
41170,Garfield-Dan Ryan,07/04/2023,U,962
40230,Cumberland,07/04/2023,U,912
40020,Harlem-Lake,07/04/2023,U,906
41480,Western-Brown,07/04/2023,U,891
40790,Monroe/Dearborn,07/04/2023,U,867
40910,63rd-Dan Ryan,07/04/2023,U,830
40490,Grand/Milwaukee,07/04/2023,U,826
41230,47th-Dan Ryan,07/04/2023,U,813
40460,Merchandise Mart,07/04/2023,U,812
41160,Clinton-Lake,07/04/2023,U,804
40120,35th/Archer,07/04/2023,U,776
40660,Armitage,07/04/2023,U,767
40350,UIC-Halsted,07/04/2023,U,735
40580,54th/Cermak,07/04/2023,U,724
40830,18th,07/04/2023,U,713
40360,Southport,07/04/2023,U,699
40430,Clinton-Forest Park,07/04/2023,U,692
41190,Jarvis,07/04/2023,U,675
40170,Ashland-Lake,07/04/2023,U,666
41340,LaSalle,07/04/2023,U,664
41180,Kedzie-Brown,07/04/2023,U,657
40280,Central-Lake,07/04/2023,U,628
41130,Halsted-Orange,07/04/2023,U,619
40750,Harlem-O'Hare,07/04/2023,U,611
41330,Montrose-O'Hare,07/04/2023,U,608
41240,Addison-O'Hare,07/04/2023,U,597
40390,Forest Park,07/04/2023,U,593
40090,Damen-Brown,07/04/2023,U,587
40730,Washington/Wells,07/04/2023,U,573
41310,Paulina,07/04/2023,U,557
40210,Damen-Cermak,07/04/2023,U,539
40250,Kedzie-Homan-Forest Park,07/04/2023,U,510
41500,Montrose-Brown,07/04/2023,U,503
41210,Wellington,07/04/2023,U,494
41260,Austin-Lake,07/04/2023,U,485
41030,Polk,07/04/2023,U,482
40440,California-Cermak,07/04/2023,U,475
40420,Cicero-Cermak,07/04/2023,U,473
40030,Pulaski-Lake,07/04/2023,U,470
40740,Western-Cermak,07/04/2023,U,464
41460,Irving Park-Brown,07/04/2023,U,462
41060,Ashland-Orange,07/04/2023,U,449
40920,Pulaski-Forest Park,07/04/2023,U,444
40720,East 63rd-Cottage Grove,07/04/2023,U,439
40140,Dempster-Skokie,07/04/2023,U,431
40810,Medical Center,07/04/2023,U,420
40470,Racine,07/04/2023,U,410
40480,Cicero-Lake,07/04/2023,U,394
40220,Western-Forest Park,07/04/2023,U,392
40150,Pulaski-Cermak,07/04/2023,U,387
41250,Central-Evanston,07/04/2023,U,375
41010,Rockwell,07/04/2023,U,369
40510,Garfield-South Elevated,07/04/2023,U,369
41350,Oak Park-Lake,07/04/2023,U,348
41040,Kedzie-Cermak,07/04/2023,U,347
40780,Central Park,07/04/2023,U,344
40270,Main,07/04/2023,U,344
40970,Cicero-Forest Park,07/04/2023,U,342
41070,Kedzie-Lake,07/04/2023,U,342
41080,47th-South Elevated,07/04/2023,U,340
40700,Laramie,07/04/2023,U,335
40870,Francisco,07/04/2023,U,335
40160,LaSalle/Van Buren,07/04/2023,U,324
41440,Addison-Brown,07/04/2023,U,314
40290,Ashland/63rd,07/04/2023,U,307
40010,Austin-Forest Park,07/04/2023,U,304
41670,Conservatory,07/04/2023,U,294
40130,51st,07/04/2023,U,289
40690,Dempster,07/04/2023,U,287
41360,California-Lake,07/04/2023,U,259
41050,Linden,07/04/2023,U,254
40610,Ridgeland,07/04/2023,U,248
40520,Foster,07/04/2023,U,240
40840,South Boulevard,07/04/2023,U,239
40400,Noyes,07/04/2023,U,215
40980,Harlem-Forest Park,07/04/2023,U,203
41680,Oakton-Skokie,07/04/2023,U,198
41270,43rd,07/04/2023,U,188
40940,Halsted/63rd,07/04/2023,U,183
40180,Oak Park-Forest Park,07/04/2023,U,181
40300,Indiana,07/04/2023,U,161
41140,King Drive,07/04/2023,U,140
40600,Kostner,07/04/2023,U,116
40770,Lawrence,07/04/2023,U,0
40340,Berwyn,07/04/2023,U,0
